ZmalncRNA1687,B4FNR5,1
ZmalncRNA1687,C4IYC2,1
ZmalncRNA1216,B4FNR5,1
ZmalncRNA626,C4IYC2,1
ZmalncRNA1216,C4IYC2,1
ZmalncRNA959,B4FNR5,1
ZmalncRNA626,B4FNR5,1
ZmalncRNA1625,C4IYC2,1
ZmalncRNA1687,B4FPJ2,1
ZmalncRNA959,C4IYC2,1
ZmalncRNA1687,B4FSW0,1
ZmalncRNA1216,B6SP74,1
ZmalncRNA1687,B6SXV2,1
ZmalncRNA844,C4IYC2,1
ZmalncRNA1250,B4FSW0,1
ZmalncRNA1071,B4FNR5,1
ZmalncRNA1216,B4FSW0,1
ZmalncRNA1625,B4FNR5,1
ZmalncRNA1250,B4FNR5,1
ZmalncRNA450,B4FNR5,1
ZmalncRNA626,B4FSW0,1
ZmalncRNA1405,C4IYC2,1
ZmalncRNA1625,B6SP74,1
ZmalncRNA119,B4FNR5,1
ZmalncRNA1549,B4FNR5,1
ZmalncRNA312,B4FNR5,1
ZmalncRNA1250,C4IYC2,1
ZmalncRNA450,C4IYC2,1
ZmalncRNA626,B4FPJ2,1
ZmalncRNA1405,B4FNR5,1
ZmalncRNA1687,B4F8A7,1
ZmalncRNA959,B4FSW0,1
ZmalncRNA844,B4FNR5,1
ZmalncRNA1071,C4IYC2,1
ZmalncRNA1238,B4FNR5,1
ZmalncRNA1216,B4FCE3,1
ZmalncRNA1250,B6SP74,1
ZmalncRNA1625,B4FSW0,1
ZmalncRNA1550,B4FSW0,1
ZmalncRNA959,B6SXV2,1
ZmalncRNA312,C4IYC2,1
ZmalncRNA959,B4FPJ2,1
ZmalncRNA119,C4IYC2,1
ZmalncRNA1216,B4FPJ2,1
ZmalncRNA312,B4FSW0,1
ZmalncRNA728,C4IYC2,1
ZmalncRNA1216,B6TDJ0,1
ZmalncRNA1687,B4FCE3,1
ZmalncRNA1550,B6SXV2,1
ZmalncRNA1687,B6SP74,1
ZmalncRNA9,B4FNR5,1
ZmalncRNA1687,C0PLI2,1
ZmalncRNA1549,C4IYC2,1
ZmalncRNA408,B4FNR5,1
ZmalncRNA1238,B6SXV2,1
ZmalncRNA1250,B6SXV2,1
ZmalncRNA119,B6SXV2,1
ZmalncRNA1238,C4IYC2,1
ZmalncRNA848,B4FNR5,1
ZmalncRNA1550,B4FNR5,1
ZmalncRNA855,C4IYC2,1
ZmalncRNA411,B4FNR5,1
ZmalncRNA1625,B6SXV2,1
ZmalncRNA1238,B4FPJ2,1
ZmalncRNA1155,B4FNR5,1
ZmalncRNA912,B4FNR5,1
ZmalncRNA855,B4FNR5,1
ZmalncRNA844,B4FSW0,1
ZmalncRNA119,B4FPJ2,1
ZmalncRNA1071,B4FPJ2,1
ZmalncRNA1071,B6SXV2,1
ZmalncRNA912,C4IYC2,1
ZmalncRNA626,B6SXV2,1
ZmalncRNA1216,B6SXV2,1
ZmalncRNA1625,B4FPJ2,1
ZmalncRNA9,C4IYC2,1
ZmalncRNA1549,B6SXV2,1
ZmalncRNA418,B4FNR5,1
ZmalncRNA1687,B4FLX0,1
ZmalncRNA1459,B4FNR5,1
ZmalncRNA1549,B4FPJ2,1
ZmalncRNA312,B6SXV2,1
ZmalncRNA408,B6SXV2,1
ZmalncRNA848,B6SXV2,1
ZmalncRNA1405,B4FSW0,1
ZmalncRNA1550,C4IYC2,1
ZmalncRNA450,B6SXV2,1
ZmalncRNA450,B4FSW0,1
ZmalncRNA1216,B4FLX0,1
ZmalncRNA728,B4FNR5,1
ZmalncRNA626,C0PLI2,1
ZmalncRNA617,B4FNR5,1
ZmalncRNA9,B6SXV2,1
ZmalncRNA1071,B4FSW0,1
ZmalncRNA959,B6SP74,1
ZmalncRNA119,B4FSW0,1
ZmalncRNA1151,B4FNR5,1
ZmalncRNA1183,B4FNR5,1
ZmalncRNA955,B4FNR5,1
ZmalncRNA514,C4IYC2,1
ZmalncRNA411,C4IYC2,1
ZmalncRNA1155,C4IYC2,1
ZmalncRNA1553,B4FNR5,1
ZmalncRNA408,C4IYC2,1
ZmalncRNA851,C4IYC2,1
ZmalncRNA626,B6SP74,1
ZmalncRNA9,B4FPJ2,1
ZmalncRNA844,B4FPJ2,1
ZmalncRNA1151,B6SXV2,1
ZmalncRNA959,C0PLI2,1
ZmalncRNA312,B6SP74,1
ZmalncRNA450,B4FPJ2,1
ZmalncRNA1459,B6SXV2,1
ZmalncRNA959,B4F8A7,1
ZmalncRNA1553,C4IYC2,1
ZmalncRNA626,B4F8A7,1
ZmalncRNA514,B4FNR5,1
ZmalncRNA1250,B4FPJ2,1
ZmalncRNA1549,B4FSW0,1
ZmalncRNA1250,C0PLI2,1
ZmalncRNA1238,B4FSW0,1
ZmalncRNA473,B4FNR5,1
ZmalncRNA1216,C0PLI2,1
ZmalncRNA1459,C4IYC2,1
ZmalncRNA1216,B4F8A7,1
ZmalncRNA1238,B4F8A7,1
ZmalncRNA848,C4IYC2,1
